name,Status[5],area,lower_end,upper_end,number_of_steps,"length","height",Bild,"named_after"
Fritz-Münch-Staffel,offiziell,Stuttgart-Süd,Pfaffenweg,Alte Weinsteige,,,23,,"Fritz Münch (benannt 1992, Schneidermeister aus Stuttgart)"
Fritz-Wisten-Staffel,offiziell,Stuttgart-West,Rotebühlstraße,Reinsburgstraße,,,12,,"Fritz Wisten (benannt 2007, österreichisch-jüdischer Schauspieler und Theaterregisseur)"
Georg-Elser-Staffel,offiziell,Stuttgart-Ost,Diemershaldenstraße,Gerokstraße,214,108,24,,"Georg Elser (benannt 1999, Widerstandskämpfer)"
Gerokstaffel,offiziell,Stuttgart-Mitte,Diemershaldenstraße,Gerokstraße,125/128,85,23,,"Karl von Gerok (benannt 1909, deutscher Theologe und Lyriker)"
Ginsterstaffel,offiziell,Stuttgart-Ost (Gablenberg),Anna-Blos-Weg,Im Buchwald,,,63,,"Ginster (benannt 1991, Pflanzengattung)"
Grafeneckstraße,,Stuttgart-Ost,Haußmannstraße,Grafeneckstraße/Bauschweg,76,,12,
Gröberstaffel,,Stuttgart-Ost,Richard-Wagner-Straße,Gröberstraße/Sandbergerstraße,,,,
Haigststaffel,offiziell,Stuttgart-Degerloch,Alte Weinsteige,Auf dem Haigst,130,73,23,,Flurname Haigst (benannt 1911)
Haldenwaldstaffel,,Stuttgart-Möhringen,Triberger Straße,Haldenwald/Nähe Falkenstraße,,,,,–
Happoldstaffel,offiziell,Stuttgart-Feuerbach,Klagenfurter Straße,Happoldstraße,,,18,,"August Happold (benannt 1938, Fabrikant)"
Hasenbergstaffel,offiziell,Stuttgart-West,Reinsburgstraße,KEINE STAFFEL MEHR VORHANDEN,,,0,,"Hasenberg (benannt 1907, Stuttgarter Erhebung)"
Hasenstraße,,Stuttgart-Süd,,,,,10,,–
Hebbelstaffel,,Stuttgart-West,Hebbelstraße,Grimmstraße,,,,,–
Helene-Schoettle-Staffel,offiziell,Stuttgart-Süd,Schickhardtstraße,Gebelsbergstraße,97,72,17,,"Helene Schoettle (benannt 1998, Stadträtin)"
Herderstaffel,offiziell,Stuttgart-West,Vogelsangstraße,Herderstraße,,,,,"Johann Gottfried Herder (benannt 1927, deutscher Dichter, Übersetzer, Theologe und Geschichts- und Kultur-Philosoph)"
Herweghstaffel,,Stuttgart-West,Seyfferstraße,Herweghstraße,,,,,–
Hessenlaustaffel,offiziell,Stuttgart-Vaihingen,Knappenweg,Hesenlauweg,,,13,,"Flurname (benannt 1975, Lau = kleiner Wald)"
Himmelsleiter,,Stuttgart-Zuffenhausen,,,,,17,,–
Himmelstaffel,offiziell,Stuttgart-Vaihingen,Knappenweg,Weinbergweg,,,25,,"Himmel (benannt 1975, Firmament)"
Hirschbrunnenstaffel,offiziell,Stuttgart-Wangen,Buchauer Straße,Unteres Letterle,,,10,,"Hirsch (benannt 2014, Paarhufer)"
Hoelzelweg,,Stuttgart-Nord,,,,,,,–
Honoldweg,,Stuttgart-West,Vorsteigstraße,Zeppelinstraße,,,,,Gottlob Honold (deutscher Ingenieur)
Hornbergstraße,,Stuttgart-Ost,,,,,,,–
Im Fuchsrain,,Stuttgart-Ost,,,,,15,,Fuchs (Raubtier)
Im Kaisemer,,Stuttgart-Nord,Im Kaisemer,Birkenwald Straße,,,28,,–
Im Kienle,,Stuttgart-Süd,Im Unteren Kienle,Im Oberen Kienle,,,,,
Im Schellenkönig,,"Stuttgart-Mitte,
Stuttgart-Ost (Grenzweg)",Im Schellenkönig,Stafflenbergstraße,,,13,,Schellen (Spielkartenfarbe)
Josefstaffel,,Stuttgart-Degerloch,,,,,13,,–
Karl-Adler-Staffel,offiziell,Stuttgart-West,Gaußstraße,Gustav-Siegle-Straße,,,31,,"Karl Adler (benannt 1990, jüdischer Musikwissenschaftler)"
Karl-Donndorf-Weg,,Stuttgart-Ost,Ameisenbergstraße,Uhlandshöhe,,,,,
Kelterstaffel,,Stuttgart-Süd,Böheimstraße,Kelterstraße,74,37,,,–
Kolbstaffel,,Stuttgart-Süd,Kolbstraße,Hohenstaufenstraße,,,,,–
Kotzenloch,,Stuttgart-Feuerbach,,,,,22,,–
