cuisine,name,address,phone_number,url, area, price, rating, vegan_options, dishes
Italian,L'Osteria,Mailänder Platz 7,0711 22007707,https://losteria.net/de/restaurants/restaurant/stuttgart-mailaender-platz/,north,cheap
fries,Frittenwerk,Mailänder Platz 7,0211 26009227,https://www.frittenwerk.com/stuttgart-milaneo.php,north,expensive
burgers,HANS IM GLÜCK,Marienstraße 3B,0711 25274604,https://hansimglueck-burgergrill.de/burger-restaurant/stuttgart-marienstrasse/
asian,Hotalo,Königstraße 26,0176 66856614,https://www.koenigsbau-passagen.de/gastronomie/hotalo/?location=p534-13
indian,Mata Hari,Geißstraße 3,0711 50421479,http://www.facebook.com/matahari0711
polish,Oblomow,Torstraße 20,01577 1532031,https://m.facebook.com/oblomow.stuttgart/?locale2=de_DE
