about;name;address;phone_number;url
Art;Kunstmuseum;Kleiner Schloßplatz 1;0711 21619600;https://www.kunstmuseum-stuttgart.de/
Art;Museum der Illusionen;Mailänder Platz 27;0711 56618546;http://stuttgart.museumderillusionen.de/
Pigs;SchweineMuseum;Schlachthofstraße 2A;0711 66419600;https://www.schweinemuseum.de/
Art;Staatsgalerie;Konrad-Adenauer-Straße 30-32;0711 470400;https://www.staatsgalerie.de/
Ethnology;Linden-Museum;Hegelpl. 4;0711 20223;https://www.lindenmuseum.de/
History;Landesmuseum;Schillerpl. 6;0711 89535111;https://www.landesmuseum-stuttgart.de/
History;Haus der Geschichte;Konrad-Adenauer-Straße 16;0711 2123989;https://www.hdgbw.de/
Animals;Naturkundemuseum;Rosenstein 1;0711 89360;http://www.naturkundemuseum-bw.de/
Cars;Mercedes-Benz Museum;Mercedesstraße 100;0711 1730000;https://www.mercedes-benz.com/museum
